ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
30.0;753;ย 3์/๑;24.0;753.0;ย 3์/๑
33.0;753;Þย 3์/๑;26.0;752.0;Þย 3์/๑
30.0;751;Þย 2์/๑;25.0;750.0;Þย 2์/๑
24.0;751;Þ 1์/๑;22.0;751.0;Þ 1์/๑
24.0;749;ว 3์/๑;16.0;749.0;ว 3์/๑
24.0;746;ว 3์/๑;17.0;747.0;ว 3์/๑
23.0;747;Þว 1์/๑;19.0;746.0;Þว 1์/๑
27.0;744;ว 1์/๑;22.0;745.0;ว 1์/๑
26.0;746;ัย 3์/๑;19.0;748.0;ัย 3์/๑
25.0;750;ั 2์/๑;20.0;751.0;ั 2์/๑
27.0;750;ัย 3์/๑;22.0;749.0;ัย 3์/๑
28.0;746;Þย 1์/๑;22.0;745.0;Þย 1์/๑
23.0;743;ว 3์/๑;15.0;743.0;ว 3์/๑
20.0;746;ัว 3์/๑;13.0;748.0;ัว 3์/๑
13.0;751;ัย 1์/๑;12.0;752.0;ัย 1์/๑
14.0;750;ย 1์/๑;13.0;750.0;ย 1์/๑
27.0;746;Þย 3์/๑;21.0;744.0;Þย 3์/๑
16.0;741;ัว 2์/๑;15.0;743.0;ัว 2์/๑
14.0;744;ว 2์/๑;13.0;744.0;ว 2์/๑
15.0;748;ัว 3์/๑;12.0;750.0;ัว 3์/๑
13.0;755;ัว 1์/๑;12.0;754.0;ัว 1์/๑
24.0;751;ว 3์/๑;18.0;751.0;ว 3์/๑
27.0;750;Þว 2์/๑;21.0;749.0;Þว 2์/๑
28.0;743;Þว 2์/๑;19.0;746.0;Þว 2์/๑
25.0;749;ว 2์/๑;21.0;749.0;ว 2์/๑
